name,description,quantity
Gold Coins,250,1
Gold Coins,120,1
Gold Coins,90,1
Gold Coins,20,1
Hidden Trap,Draw a trap card.,1
Empty,The crypt is empty; nothing happens.,3
Spectral Storm,"You are assailed by an army of undead. Test Strength. If you fail, suffer a number of wounds equal to half your remaining health (rounded up).",1
Unstable Potion,You may discard the potion at the start of your status phase and roll 2 dice: 2) You die. 3-5) Suffer 4 wounds. 6-7) Nothing happens. 8-10) Heal up to 3 wounds. 11-12) Heal all of your wounds.,3
Old Bones,"Roll 1 die: 1-3) Nothing happens. 4-6) The bones spring to life and attack you. You encounter a monster. During this encounter, you cannot escape.",2
Shuffle,"Discard this card. Then, shuffle the crypt deck and the crypt discard pile together. Finally draw a card from the crypt deck and resolve it.",1
