name,description,quantity
Chalice of Tamalir,Gold value: 900.,1
Artifact Eater,"If you exit the dungeon, roll 2 dice: 2-5) Discard one of your other loot cards at random. 6-12) This card has a gold value equal to the result of your roll multiplied by 100.",1
Eyes of Avra,Gold value: 420.,1
Bag of Gems,"Gold value: 1,200.",1
Pearl Ring,Gold value: 130.,1
Ruby Ring,Gold value: 140.,1
Vestments of Kellos,Gold value: 600.,1
Jeweled Chakra,Gold value: 350.,1
Ebon Amulet,Gold value: 300.,1
Flying Carpet,"Gold value: 500. When you resolve a Bridge or Bottomless Pit chamber, you may discard this card to automatically succeed at your skill test.",1
Golden Claws,Gold value: 290.,1
Giant Ruby,"Gold value: 3,000.",1
Obsidian Ring,Gold value: 110.,1
Ebon Ring,Gold value: 80.,1
Quicksilver Potion,"Gold value: 1,500. You may discard this card at the start of your turn to take 3 turns in a row before the next player takes his turn.",1
Harp of Tranquility,"Gold value: 2,000. While you have this card, you must draw 2 dragon cards each time you draw a dragon card. You may discard this card at the start of any turn.",1
Silver Ring,Gold value: 160.,1
Sun Spear,"Gold value: 1,100. If you also have the Staff of Light, this card has a gold value of 2,500.",1
Loadstone,Gold value: 1.,2
Arcane Ring,Gold value: 210.,1
Crystal of Tival,Gold value: 240.,1
Gold Ring,Gold value: 190.,1
Crystal of Orris,Gold value: 320.,1
Charmer's Flute,Gold value: 230.,1
Belt of Strength,Gold value: 260.,1
Mirror of Shael,Gold value: 550.,1
Star of Kellos,Gold value: 800.,1
Forbidden Tome,"When you start your turn in the treasure chamber, roll 2 dice: 2-3) You die. 4-5) Roll 1 die and suffer a number of wounds equal to the result. 6-8) End your turn. 9-11) Draw 4 treasure cards. Keep 2 and discard the other 2. 12) Draw 3 treasure cards and then immediately exit the dungeon.",1
Jinn Lamp,Gold value: 270.,1
Staff of Light,"Gold value: 700. If you have this card and the Sun Spear, this card has a gold value of 2,500.",1
Rune Scarab,Gold value: 400.,1
